title,release_date,rating,imdb_id,tmbd_id,runtime,genres,budget,revenue
Fantastic Beasts and Where to Find Them,2016-11-16,PG-13,tt3183660,259316,133.0,"[['Adventure', 'Family', 'Fantasy']]",180000000,809342332
Coco,2017-10-27,PG,tt2380307,354912,105.0,"[['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy']]",175000000,800526015
Pirates of the Caribbean: Dead Men Tell No Tales,2017-05-23,PG-13,tt1790809,166426,129.0,"[['Adventure', 'Action', 'Fantasy', 'Comedy']]",230000000,794861794
Mission: Impossible - Fallout,2018-07-13,PG-13,tt4912910,353081,148.0,"[['Action', 'Adventure']]",178000000,791017452
Fast & Furious 6,2013-05-21,PG-13,tt1905041,82992,131.0,"[['Action', 'Thriller', 'Crime']]",160000000,788679850
Deadpool,2016-02-09,R,tt1431045,293660,108.0,"[['Action', 'Adventure', 'Comedy']]",58000000,783100000
Guardians of the Galaxy,2014-07-30,PG-13,tt2015381,118340,121.0,"[['Action', 'Science Fiction', 'Adventure']]",170000000,772776600
Fast & Furious Presents: Hobbs & Shaw,2019-08-01,PG-13,tt6806448,384018,137.0,"[['Action', 'Adventure', 'Comedy']]",200000000,760098996
Maleficent,2014-05-28,PG,tt1587310,102651,97.0,"[['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']]",180000000,758539785
The Amazing Spider-Man,2012-06-23,PG-13,tt0948470,1930,136.0,"[['Action', 'Adventure', 'Fantasy']]",215000000,757930663
Shrek Forever After,2010-05-16,PG,tt0892791,10192,93.0,"[['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']]",165000000,752600867
The Hunger Games: Mockingjay - Part 1,2014-11-19,PG-13,tt1951265,131631,123.0,"[['Science Fiction', 'Adventure', 'Thriller']]",125000000,752100229
X-Men: Days of Future Past,2014-05-15,PG-13,tt1877832,127585,131.0,"[['Action', 'Adventure', 'Fantasy', 'Science Fiction']]",250000000,747862775
Madagascar 3: Europe's Most Wanted,2012-06-06,PG,tt1277953,80321,93.0,"[['Animation', 'Family', 'Comedy']]",145000000,746921274
Suicide Squad,2016-08-03,PG-13,tt1386697,297761,123.0,"[['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']]",175000000,746846894
Monsters University,2013-06-20,G,tt1453405,62211,104.0,"[['Animation', 'Family']]",200000000,743559607
Deadpool 2,2018-05-10,PG-13,tt5463162,383498,119.0,"[['Action', 'Comedy', 'Adventure']]",110000000,741547413
Gravity,2013-10-03,PG-13,tt1454468,49047,91.0,"[['Science Fiction', 'Thriller', 'Drama']]",105000000,723192705
Captain America: The Winter Soldier,2014-03-20,PG-13,tt1843866,100402,136.0,"[['Action', 'Adventure', 'Science Fiction']]",170000000,714766572
The Twilight Saga: Breaking Dawn - Part 1,2011-11-16,PG-13,tt1324999,50619,117.0,"[['Adventure', 'Fantasy', 'Romance']]",110000000,712171856
Dawn of the Planet of the Apes,2014-06-26,PG-13,tt2103281,119450,130.0,"[['Science Fiction', 'Action', 'Drama', 'Thriller']]",170000000,710644566
The Amazing Spider-Man 2,2014-04-16,PG-13,tt1872181,102382,142.0,"[['Action', 'Adventure', 'Fantasy']]",200000000,708962323
It,2017-09-06,R,tt1396484,346364,135.0,[['Horror']],35000000,701796444
The Twilight Saga: Eclipse,2010-06-23,PG-13,tt1325004,24021,124.0,"[['Adventure', 'Fantasy', 'Drama', 'Romance']]",68000000,698491347
Mission: Impossible - Ghost Protocol,2011-12-07,PG-13,tt1229238,56292,133.0,"[['Action', 'Thriller', 'Adventure']]",145000000,694713380
The Hunger Games,2012-03-12,PG-13,tt1392170,70160,142.0,"[['Science Fiction', 'Adventure', 'Fantasy']]",75000000,691210692
Moana,2016-11-23,PG,tt3521164,277834,107.0,"[['Adventure', 'Comedy', 'Family', 'Animation']]",150000000,690860472
Mission: Impossible - Rogue Nation,2015-07-23,PG-13,tt2381249,177677,131.0,"[['Action', 'Adventure']]",150000000,682330139
Doctor Strange,2016-10-25,PG-13,tt1211837,284052,115.0,"[['Action', 'Adventure', 'Fantasy', 'Science Fiction']]",165000000,677700000
Interstellar,2014-11-05,PG-13,tt0816692,157336,169.0,"[['Adventure', 'Drama', 'Science Fiction']]",165000000,675120017
Man of Steel,2013-06-12,PG-13,tt0770828,49521,143.0,"[['Action', 'Adventure', 'Fantasy', 'Science Fiction']]",225000000,668045518
Kung Fu Panda 2,2011-05-25,PG,tt1302011,49444,91.0,"[['Animation', 'Family']]",150000000,665692281
Justice League,2017-11-15,PG-13,tt0974015,141052,120.0,"[['Action', 'Adventure', 'Fantasy', 'Science Fiction']]",300000000,657924295
Big Hero 6,2014-10-24,PG,tt2245084,177572,102.0,"[['Adventure', 'Family', 'Animation', 'Action', 'Comedy']]",165000000,657827828
The Hunger Games: Mockingjay - Part 2,2015-11-18,PG-13,tt1951266,131634,137.0,"[['Action', 'Adventure', 'Science Fiction']]",160000000,653428261
Fantastic Beasts: The Crimes of Grindelwald,2018-11-14,PG-13,tt4123430,338952,134.0,"[['Adventure', 'Fantasy', 'Family']]",200000000,653355901
Thor: The Dark World,2013-10-29,PG-13,tt1981115,76338,112.0,"[['Action', 'Adventure', 'Fantasy']]",170000000,644571402
Sing,2016-11-23,PG,tt3470600,335797,108.0,"[['Animation', 'Comedy', 'Drama', 'Family']]",75000000,634151679
The Martian,2015-09-30,PG-13,tt3659388,286217,141.0,"[['Drama', 'Adventure', 'Science Fiction']]",108000000,630161890
Fast Five,2011-04-20,PG-13,tt1596343,51497,130.0,"[['Action', 'Thriller', 'Crime']]",125000000,626137675
Men in Black 3,2012-05-23,PG-13,tt1409024,41154,106.0,"[['Action', 'Comedy', 'Science Fiction']]",225000000,624026776
Iron Man 2,2010-04-28,PG-13,tt1228705,10138,124.0,"[['Adventure', 'Action', 'Science Fiction']]",200000000,623933331
Ant-Man and the Wasp,2018-07-04,PG-13,tt5095030,363088,119.0,"[['Action', 'Adventure', 'Science Fiction', 'Comedy']]",140000000,622674139
Logan,2017-02-28,R,tt3315342,263115,137.0,"[['Action', 'Drama', 'Science Fiction']]",97000000,619021436
How to Train Your Dragon 2,2014-06-09,PG,tt1646971,82702,102.0,"[['Fantasy', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family']]",145000000,609123048
Life of Pi,2012-11-20,PG,tt0454876,87827,127.0,"[['Adventure', 'Drama', 'Action']]",120000000,609016565
Transformers: The Last Knight,2017-06-16,PG-13,tt3371366,335988,149.0,"[['Action', 'Science Fiction', 'Thriller', 'Adventure']]",217000000,605425157
Tangled,2010-11-24,PG,tt0398286,38757,100.0,"[['Animation', 'Family']]",260000000,592461732
The Croods,2013-03-20,PG,tt0481499,49519,98.0,"[['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']]",135000000,587204668
Ready Player One,2018-03-28,PG-13,tt1677720,333339,140.0,"[['Adventure', 'Science Fiction']]",175000000,582890172
Fifty Shades of Grey,2015-02-11,R,tt2322441,216015,125.0,"[['Drama', 'Romance', 'Thriller']]",4000000,571006128
Kong: Skull Island,2017-03-08,PG-13,tt3731562,293167,118.0,"[['Action', 'Adventure', 'Fantasy']]",185000000,566652812
The Smurfs,2011-07-29,PG,tt0472181,41513,103.0,"[['Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy']]",110000000,563749323
Cars 2,2011-06-11,G,tt1216475,49013,106.0,"[['Animation', 'Family', 'Adventure', 'Comedy']]",200000000,559852396
Puss in Boots,2011-10-28,PG,tt0448694,417859,90.0,"[['Action', 'Adventure', 'Animation', 'Family', 'Fantasy', 'Comedy']]",130000000,554987477
Ted,2012-06-29,R,tt1637725,72105,107.0,"[['Comedy', 'Fantasy']]",50000000,549368315
X-Men: Apocalypse,2016-05-18,PG-13,tt3385516,246655,144.0,"[['Action', 'Adventure', 'Science Fiction', 'Fantasy']]",178000000,543934787
Cinderella,2015-03-12,PG,tt1661199,150689,105.0,"[['Romance', 'Fantasy', 'Family', 'Drama']]",95000000,543514353
Despicable Me,2010-07-08,PG,tt1323594,20352,95.0,"[['Animation', 'Family']]",69000000,543513985
American Sniper,2014-12-11,R,tt2179136,190859,133.0,"[['War', 'Action']]",58800000,542307423
Brave,2012-06-21,PG,tt1217209,62177,93.0,"[['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']]",185000000,538983207
The Revenant,2015-12-25,R,tt1663202,281957,157.0,"[['Western', 'Drama', 'Adventure']]",135000000,532950503
World War Z,2013-06-20,PG-13,tt0816711,72190,116.0,"[['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']]",200000000,531865000
The Meg,2018-08-09,PG-13,tt4779682,345940,113.0,"[['Action', 'Science Fiction', 'Horror']]",150000000,530243742
Ralph Breaks the Internet,2018-11-20,PG,tt5848272,404368,112.0,"[['Family', 'Animation', 'Comedy', 'Adventure']]",175000000,529221154
Godzilla,2014-05-14,PG-13,tt0831387,124905,123.0,"[['Action', 'Drama', 'Science Fiction']]",160000000,529076069
Dunkirk,2017-07-19,PG-13,tt5013056,374720,107.0,"[['War', 'Action', 'Drama']]",100000000,525573161
Kung Fu Panda 3,2016-01-23,PG,tt2267968,140300,95.0,"[['Action', 'Adventure', 'Animation', 'Comedy', 'Family']]",145000000,521170825
Ant-Man,2015-07-14,PG-13,tt0478970,102899,117.0,"[['Science Fiction', 'Action', 'Adventure']]",130000000,519311965
How to Train Your Dragon: The Hidden World,2019-01-03,PG,tt2386490,166428,104.0,"[['Animation', 'Family', 'Adventure']]",129000000,517526875
The Grinch,2018-11-08,PG,tt2709692,360920,90.0,"[['Animation', 'Family', 'Comedy', 'Fantasy']]",75000000,508575295
Rio 2,2014-03-19,G,tt2357291,172385,102.0,"[['Adventure', 'Comedy', 'Family', 'Animation']]",103000000,500188435
The Boss Baby,2017-03-23,PG,tt3874544,295693,97.0,"[['Animation', 'Comedy', 'Family']]",125000000,498814908
How to Train Your Dragon,2010-03-10,PG,tt0892769,10191,100.0,"[['Fantasy', 'Adventure', 'Animation', 'Family']]",165000000,494878759
Clash of the Titans,2010-04-01,PG-13,tt0800320,18823,106.0,"[['Adventure', 'Fantasy', 'Action']]",125000000,493214993
Oz the Great and Powerful,2013-03-07,PG,tt1623205,68728,130.0,"[['Fantasy', 'Adventure', 'Family']]",200000000,491868548
Maleficent: Mistress of Evil,2019-10-16,PG,tt4777008,420809,118.0,"[['Fantasy', 'Family', 'Adventure']]",185000000,491570967
War for the Planet of the Apes,2017-07-11,PG-13,tt3450958,281338,140.0,"[['Drama', 'Science Fiction', 'War']]",150000000,488533726
Rio,2011-04-03,G,tt1436562,46195,96.0,"[['Animation', 'Adventure', 'Comedy', 'Family']]",90000000,484635760
Rise of the Planet of the Apes,2011-08-03,PG-13,tt1318514,61791,105.0,"[['Thriller', 'Action', 'Drama', 'Science Fiction']]",93000000,482860185
Teenage Mutant Ninja Turtles,2014-08-07,PG-13,tt1291150,98566,101.0,"[['Science Fiction', 'Action', 'Adventure', 'Fantasy', 'Comedy']]",125000000,477200000
Hotel Transylvania 2,2015-09-21,PG,tt2510894,159824,89.0,"[['Animation', 'Comedy', 'Family', 'Fantasy']]",80000000,473226958
It Chapter Two,2019-09-04,R,tt7349950,474350,169.0,"[['Horror', 'Fantasy']]",79000000,473093228
Wreck-It Ralph,2012-11-01,PG,tt1772341,82690,101.0,"[['Family', 'Animation', 'Comedy', 'Adventure']]",165000000,471222889
San Andreas,2015-05-27,PG-13,tt2126355,254128,114.0,"[['Action', 'Drama', 'Thriller']]",110000000,470490832
The Lego Movie,2014-02-06,PG,tt1490017,137106,100.0,"[['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']]",60000000,469160692
Bumblebee,2018-12-15,PG-13,tt4701182,424783,114.0,"[['Action', 'Adventure', 'Science Fiction']]",135000000,467989645
Star Trek Into Darkness,2013-05-05,PG-13,tt1408101,54138,132.0,"[['Action', 'Adventure', 'Science Fiction']]",190000000,467365246
Lucy,2014-07-25,R,tt2872732,240832,89.0,"[['Action', 'Science Fiction']]",40000000,458863600
Thor,2011-04-21,PG-13,tt0800369,10195,115.0,"[['Adventure', 'Fantasy', 'Action']]",150000000,449326618
La La Land,2016-11-29,PG-13,tt3783958,313369,129.0,"[['Comedy', 'Drama', 'Romance', 'Music']]",30000000,446486224
Les Misérables,2012-12-18,PG-13,tt1707386,82695,158.0,"[['History', 'Drama']]",61000000,441809770
Terminator Genisys,2015-06-23,PG-13,tt1340138,87101,126.0,"[['Science Fiction', 'Action', 'Thriller', 'Adventure']]",155000000,440603537
A Star Is Born,2018-10-03,R,tt1517451,332562,136.0,"[['Drama', 'Romance', 'Music']]",36000000,433888866
Warcraft,2016-05-25,PG-13,tt0803096,68735,123.0,"[['Action', 'Adventure', 'Fantasy']]",160000000,433677183
The Greatest Showman,2017-12-20,PG,tt1485796,316029,105.0,[['Drama']],84000000,432844677
Django Unchained,2012-12-25,R,tt1853728,68718,165.0,"[['Drama', 'Western']]",100000000,425368238
Bad Boys for Life,2020-01-15,R,tt1502397,38700,124.0,"[['Thriller', 'Action', 'Crime']]",90000000,419074646
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010-12-08,PG,tt0980970,10140,113.0,"[['Adventure', 'Family', 'Fantasy']]",155000000,415686217
Jason Bourne,2016-07-27,PG-13,tt4196776,324668,123.0,"[['Action', 'Thriller']]",120000000,415484914
The Wolverine,2013-07-23,PG-13,tt1430132,76170,126.0,"[['Action', 'Science Fiction', 'Adventure', 'Fantasy']]",120000000,415440673
Kingsman: The Secret Service,2014-12-13,R,tt2802144,207703,129.0,"[['Crime', 'Comedy', 'Action', 'Adventure']]",81000000,414351546
The King's Speech,2010-09-06,R,tt1504320,45269,118.0,"[['Drama', 'History']]",15000000,414211549
Kingsman: The Golden Circle,2017-09-20,R,tt4649466,343668,141.0,"[['Action', 'Adventure', 'Comedy']]",104000000,410902662
The Mummy,2017-06-06,PG-13,tt2345759,282035,110.0,"[['Fantasy', 'Thriller', 'Action', 'Adventure', 'Horror']]",125000000,409231607
Ice Age: Collision Course,2016-06-23,PG,tt3416828,278154,95.0,"[['Adventure', 'Animation', 'Family', 'Comedy']]",105000000,408579038
Pacific Rim,2013-07-11,PG-13,tt1663662,68726,131.0,"[['Action', 'Science Fiction', 'Adventure']]",180000000,407602906
Alita: Battle Angel,2019-01-31,PG-13,tt0437086,399579,122.0,"[['Action', 'Science Fiction', 'Adventure']]",170000000,404852543
Prometheus,2012-05-30,R,tt1446714,70981,124.0,"[['Science Fiction', 'Adventure', 'Mystery']]",130000000,403170142
TRON: Legacy,2010-12-10,PG,tt1104001,20526,125.0,"[['Adventure', 'Action', 'Science Fiction']]",170000000,400062763
Snow White and the Huntsman,2012-05-30,PG-13,tt1735898,58595,127.0,"[['Adventure', 'Fantasy', 'Drama']]",170000000,396600000
Mamma Mia! Here We Go Again,2018-07-09,PG-13,tt6911608,458423,113.0,"[['Comedy', 'Romance']]",75000000,395044706
Solo: A Star Wars Story,2018-05-15,PG-13,tt3778644,348350,135.0,"[['Adventure', 'Science Fiction']]",250000000,392952373
The Wolf of Wall Street,2013-12-25,R,tt0993846,106646,180.0,"[['Crime', 'Drama', 'Comedy']]",100000000,392000694
Independence Day: Resurgence,2016-06-22,PG-13,tt1628841,47933,120.0,"[['Action', 'Adventure', 'Science Fiction']]",165000000,389681935
Godzilla: King of the Monsters,2019-05-29,PG-13,tt3741700,373571,132.0,"[['Science Fiction', 'Action']]",170000000,386600138
Cars 3,2017-06-15,G,tt3606752,260514,102.0,"[['Adventure', 'Animation', 'Comedy', 'Family']]",175000000,383925276
Mad Max: Fury Road,2015-05-13,R,tt1392190,76341,121.0,"[['Action', 'Adventure', 'Science Fiction']]",150000000,378858340
Fifty Shades Darker,2017-02-08,R,tt4465564,341174,118.0,"[['Drama', 'Romance']]",55000000,378827494
Taken 2,2012-09-27,PG-13,tt1397280,82675,91.0,"[['Action', 'Crime', 'Thriller']]",45000000,376141306
Spider-Man: Into the Spider-Verse,2018-12-06,PG,tt4633694,324857,117.0,"[['Action', 'Adventure', 'Animation', 'Science Fiction', 'Comedy']]",90000000,375540831
Once Upon a Time… in Hollywood,2019-07-24,R,tt7131622,466272,162.0,"[['Comedy', 'Drama', 'Thriller']]",95000000,374251247
Penguins of Madagascar,2014-11-22,PG,tt1911658,270946,92.0,"[['Family', 'Animation', 'Adventure', 'Comedy']]",132000000,373552094
The Adventures of Tintin,2011-10-25,PG,tt0983193,17578,107.0,"[['Adventure', 'Animation', 'Mystery']]",130000000,371940071
G.I. Joe: Retaliation,2013-03-26,PG-13,tt1583421,72559,110.0,"[['Adventure', 'Action', 'Science Fiction', 'Thriller']]",130000000,371876278
Captain America: The First Avenger,2011-07-22,PG-13,tt0458339,1771,124.0,"[['Action', 'Adventure', 'Science Fiction']]",140000000,370569774
Edge of Tomorrow,2014-05-27,PG-13,tt1631867,137113,113.0,"[['Action', 'Science Fiction']]",178000000,370541256
Gone Girl,2014-10-01,R,tt2267998,210577,149.0,"[['Mystery', 'Thriller', 'Drama']]",61000000,369330363
Home,2015-03-18,PG,tt2224026,228161,94.0,"[['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']]",135000000,368871007
Fifty Shades Freed,2018-01-17,R,tt4477536,337167,105.0,"[['Drama', 'Romance']]",55000000,368307760
1917,2019-12-25,R,tt8579674,530915,119.0,"[['War', 'Drama', 'Action', 'History']]",100000000,368027644
The Nun,2018-09-05,R,tt5814060,439079,96.0,"[['Horror', 'Mystery', 'Thriller']]",22000000,365550119
Shazam!,2019-03-29,PG-13,tt0448115,287947,132.0,"[['Action', 'Comedy', 'Fantasy']]",80000000,363533271
Night at the Museum: Secret of the Tomb,2014-12-17,PG,tt2692250,181533,97.0,"[['Adventure', 'Comedy', 'Fantasy', 'Family']]",127000000,363204635
Noah,2014-03-07,PG-13,tt1959490,86834,138.0,"[['Drama', 'Adventure']]",125000000,362637473
The Hangover Part III,2013-05-23,R,tt1951261,109439,100.0,[['Comedy']],103000000,362000072
Hotel Transylvania,2012-09-20,PG,tt0837562,76492,91.0,"[['Animation', 'Comedy', 'Family', 'Fantasy']]",85000000,358375603
The Karate Kid,2010-06-10,PG,tt1155076,38575,140.0,"[['Action', 'Adventure', 'Drama', 'Family']]",40000000,357852395
The Legend of Tarzan,2016-06-06,PG-13,tt0918940,258489,109.0,"[['Action', 'Adventure']]",180000000,356743061
Journey 2: The Mysterious Island,2012-01-19,PG,tt1397514,72545,94.0,"[['Adventure', 'Action', 'Science Fiction']]",79000000,355692760
X-Men: First Class,2011-06-01,PG-13,tt1270798,49538,132.0,"[['Action', 'Science Fiction', 'Adventure']]",160000000,353624124
Murder on the Orient Express,2017-11-03,PG-13,tt3402236,392044,114.0,"[['Crime', 'Drama', 'Mystery']]",55000000,351839303
Now You See Me,2013-05-29,PG-13,tt1670345,75656,116.0,"[['Thriller', 'Crime']]",75000000,351723989
Peter Rabbit,2018-02-07,PG,tt5117670,381719,93.0,"[['Animation', 'Adventure', 'Family']]",50000000,351266433
The Great Gatsby,2013-05-10,PG-13,tt1343092,64682,143.0,"[['Drama', 'Romance']]",105000000,351040419
The Angry Birds Movie,2016-05-11,PG,tt1985949,153518,97.0,"[['Animation', 'Adventure', 'Comedy']]",73000000,349779543
The Lorax,2012-03-01,PG,tt1482459,73723,86.0,"[['Animation', 'Family']]",70000000,348840316
Mary Poppins Returns,2018-12-13,PG,tt5028340,400650,131.0,"[['Fantasy', 'Family', 'Comedy']]",130000000,348807090
The Maze Runner,2014-09-10,PG-13,tt1790864,198663,113.0,"[['Action', 'Mystery', 'Science Fiction', 'Thriller']]",34000000,348319861
The Smurfs 2,2013-07-30,PG,tt2017020,77931,105.0,"[['Fantasy', 'Family', 'Comedy', 'Animation']]",105000000,347434178
