title,release_date,runtime,genres,budget,revenue
Teenage Mutant Ninja Turtles: Out of the Shadows,2016-06-01,112,"['Action', 'Adventure', 'Comedy', 'Family', 'Science Fiction']",135000000,245623848
Dark Shadows,2012-05-08,113,"['Comedy', 'Fantasy']",150000000,245527149
Hercules,2014-07-23,99,"['Action', 'Adventure']",100000000,244819862
After Earth,2013-05-30,100,"['Science Fiction', 'Action', 'Adventure']",130000000,243843127
Pixels,2015-07-16,105,"['Action', 'Comedy', 'Science Fiction']",88000000,243637091
Daddy's Home,2015-12-25,96,['Comedy'],50000000,242786137
RoboCop,2014-01-30,102,"['Action', 'Science Fiction']",120000000,242688965
Sully,2016-09-07,96,"['Drama', 'History']",60000000,240797623
Assassin's Creed,2016-12-21,115,"['Action', 'Adventure', 'Science Fiction']",125000000,240697856
Resident Evil: Retribution,2012-09-12,95,"['Action', 'Horror', 'Science Fiction']",65000000,240159255
Crazy Rich Asians,2018-08-15,121,"['Comedy', 'Drama', 'Romance']",30000000,237994561
Gulliver's Travels,2010-12-25,85,"['Comedy', 'Adventure', 'Family', 'Fantasy']",112000000,237382724
Silver Linings Playbook,2012-09-08,122,"['Drama', 'Comedy', 'Romance']",21000000,236412453
Spy,2015-05-06,120,"['Action', 'Comedy', 'Crime']",65000000,235666219
American Reunion,2012-04-04,113,['Comedy'],50000000,234989584
Alvin and the Chipmunks: The Road Chip,2015-12-17,92,"['Adventure', 'Animation', 'Comedy', 'Family']",0,233755553
The Imitation Game,2014-11-14,113,"['History', 'Drama', 'Thriller', 'War']",14000000,233555708
The Girl with the Dragon Tattoo,2011-12-14,158,"['Thriller', 'Crime', 'Mystery', 'Drama']",90000000,232617430
Alien: Covenant,2017-05-09,122,"['Horror', 'Science Fiction']",97000000,232380243
Argo,2012-10-11,120,"['Drama', 'Thriller']",44500000,232324128
